Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity
1740798946.5624993,0,0.028381600000021708,3,2,682,682.300000000289,242.3
1740798946.5634499,0,0.02938480000002171,3,2,682,682.250000000289,242.2
1740798946.56453,0,0.03038800000002171,3,2,682,682.200000000289,242.10000000000002
1740798946.5659943,0,0.03139120000002171,3,2,682,682.1500000002891,242.0
1740798946.567571,0,0.032894400000021716,3,2,682,682.1000000002891,241.89999999999998
1740798946.569325,0,0.03489760000002171,3,2,682,682.0500000002892,241.8
1740798946.570708,0,0.036400800000021716,3,2,682,682.0000000002892,241.7
1740798946.572151,0,0.03790400000002172,3,2,682,681.9500000002893,241.60000000000002
1740798946.573786,0,0.03940720000002172,3,2,682,681.9000000002893,241.5
1740798946.575128,0,0.040910400000021725,3,2,682,681.8500000002894,241.39999999999998
1740798946.5764163,0,0.04191360000002172,3,2,682,681.8000000002894,241.3
1740798946.5774348,0,0.042916800000021724,3,2,682,681.7500000002894,241.2
1740798946.578436,0,0.043920000000021726,3,2,682,681.7000000002895,241.10000000000002
1740798946.5794063,0,0.04492320000002173,3,2,682,681.6500000002895,241.0
1740798946.5808053,0,0.04642640000002173,3,2,682,681.6000000002896,240.89999999999998
1740798946.5818052,0,0.04842960000002173,3,2,682,681.5500000002896,240.8
1740798946.5826924,0,0.05043280000002173,3,2,682,681.5000000002897,240.7
1740798946.584504,0,0.052436000000021736,3,2,682,681.4500000002897,240.60000000000002
1740798946.5857453,0,0.05443920000002174,3,2,682,681.4000000002898,240.5
1740798946.5868866,0,0.056442400000021736,3,2,682,681.3500000002898,240.39999999999998
1740798946.5879242,0,0.05844560000002174,3,2,682,681.3000000002899,240.3
1740798946.5888343,0,0.05994880000002174,3,2,682,681.2500000002899,240.25
1740798946.5897303,0,0.061452000000021746,3,2,682,681.20000000029,240.2
1740798946.5906289,0,0.06295520000002175,3,2,682,681.15000000029,240.14999999999998
1740798946.5915482,0,0.06545840000002175,3,2,682,681.10000000029,240.14999999999998
1740798946.592705,0,0.06796160000002174,3,2,682,681.0500000002901,240.15
1740798946.5935402,0,0.07046480000002175,3,2,682,681.0000000002901,240.15
1740798946.5944104,0,0.07296800000002175,3,2,682,680.9500000002902,240.15
1740798946.5956318,0,0.07547120000002175,3,2,682,680.9000000002902,240.14999999999998
1740798946.5967276,0,0.07797440000002176,3,2,682,680.8500000002903,240.14999999999998
1740798946.5977843,0,0.08047760000002176,3,2,682,680.8000000002903,240.15
1740798946.5993793,0,0.08248080000002175,3,2,681.94,680.7500000002904,240.15
1740798946.6008768,0,0.08448400000002176,3,2,681.88,680.7000000002904,240.15
1740798946.6024954,0,0.08648720000002176,3,2,681.82,680.6500000002904,240.14999999999998
1740798946.60494,0,0.08849040000002177,3,2,681.76,680.6000000002905,240.14999999999998
1740798946.6068726,0,0.09049360000002177,3,2,681.7,680.5500000002905,240.15
1740798946.6079128,0,0.09249680000002176,3,2,681.64,680.5000000002906,240.15
1740798946.609449,0,0.09450000000002177,3,2,681.58,680.4500000002906,240.15
1740798946.6104362,0,0.09650320000002177,3,2,681.52,680.4000000002907,240.14999999999998
1740798946.6114244,0,0.09850640000002177,3,2,681.46,680.3500000002907,240.14999999999998
1740798946.6127121,0,0.10050960000002178,3,2,681.4,680.3000000002908,240.15
1740798946.613731,0,0.10251280000002178,3,2,681.34,680.2500000002908,240.15
1740798946.6146905,0,0.10401600000002177,3,2,681.28,680.2000000002909,240.15
1740798946.6156878,0,0.10551920000002178,3,2,681.22,680.1500000002909,240.14999999999998
1740798946.616712,0,0.10702240000002178,3,2,681.16,680.100000000291,240.14999999999998
1740798946.6176941,0,0.10852560000002179,3,2,681.1,680.050000000291,240.15
1740798946.618659,0,0.11002880000002178,3,2,681.04,680.000000000291,240.15
1740798946.6195614,0,0.11153200000002178,3,2,680.98,679.9500000002911,240.15
1740798946.6204233,0,0.11303520000002179,3,2,680.92,679.9000000002911,240.14999999999998
1740798946.621407,0,0.11453840000002179,3,2,680.86,679.8500000002912,240.14999999999998
1740798946.6225944,0,0.1160416000000218,3,2,680.8,679.8000000002912,240.15
1740798946.6236608,0,0.11654480000002179,3,2,680.74,679.7500000002913,240.10000000000002
1740798946.6248195,0,0.1170480000000218,3,2,680.68,679.7000000002913,240.05
1740798946.6258867,0,0.1180512000000218,3,2,680.62,679.6500000002914,239.95
1740798946.626772,0,0.11905440000002179,3,2,680.56,679.6000000002914,239.85
1740798946.6277113,0,0.1200576000000218,3,2,680.5,679.5500000002914,239.75
1740798946.6287227,0,0.1210608000000218,3,2,680.44,679.5000000002915,239.65
1740798946.630903,0,0.12206400000002181,3,2,680.38,679.4500000002915,239.55
1740798946.6327124,0,0.1235672000000218,3,2,680.32,679.4000000002916,239.45
1740798946.6342268,0,0.12507040000002181,3,2,680.26,679.3500000002916,239.35
1740798946.6359515,0,0.1265736000000218,3,2,680.2,679.3000000002917,239.25
1740798946.6372697,0,0.1280768000000218,3,2,680.14,679.2500000002917,239.15
1740798946.6386435,0,0.12958000000002182,3,2,680.08,679.2000000002918,239.05
1740798946.6395583,0,0.1310832000000218,3,2,679.93,679.1500000002918,238.9
1740798946.6404421,0,0.1325864000000218,3,2,679.78,679.1000000002919,238.75
1740798946.6413991,0,0.13408960000002182,3,2,679.63,679.0500000002919,238.6
1740798946.642728,0,0.13559280000002183,3,2,679.48,679.000000000292,238.45
1740798946.6436915,0,0.1370960000000218,3,2,679.33,678.950000000292,238.3
1740798946.6447985,0,0.13809920000002182,3,2,679.18,678.900000000292,238.15
1740798946.645607,0,0.13910240000002183,3,2,679.03,678.8500000002921,238.0
1740798946.646537,0,0.1401056000000218,3,2,678.88,678.8000000002921,237.85000000000002
1740798946.647375,0,0.14110880000002182,3,2,678.82,678.7500000002922,237.75
1740798946.648414,0,0.14211200000002183,3,2,678.76,678.7000000002922,237.65
1740798946.6495385,0,0.14311520000002184,3,2,678.7,678.6500000002923,237.55
1740798946.6504142,0,0.14411840000002182,3,2,678.64,678.6000000002923,237.45
1740798946.6513734,0,0.14512160000002183,3,2,678.58,678.5500000002924,237.4
1740798946.6526463,0,0.14612480000002184,3,2,678.52,678.5000000002924,237.35000000000002
1740798946.6541522,0,0.14712800000002182,3,2,678.46,678.4500000002924,237.3
1740798946.655125,0,0.14713120000002183,3,2,678.31,678.4000000002925,237.2
1740798946.6562827,0,0.14713440000002184,3,2,678.16,678.3500000002925,237.10000000000002
1740798946.657218,0,0.14713760000002185,3,2,678.01,678.3000000002926,237.0
1740798946.6581154,0,0.14714080000002183,3,2,677.86,678.2500000002926,236.9
1740798946.659018,0,0.14664400000002184,3,2,677.71,678.2000000002927,236.8
1740798946.6599872,0,0.14614720000002185,3,2,677.56,678.1500000002927,236.7
1740798946.6609323,0,0.14565040000002186,3,2,677.41,678.1000000002928,236.60000000000002
1740798946.6619077,0,0.14515360000002184,3,2,677.26,678.0500000002928,236.5
1740798946.6630764,0,0.14465680000002185,3,2,677.11,678.0000000002929,236.4
1740798946.6644518,0,0.14516000000002185,3,2,676.96,677.9500000002929,236.35000000000002
1740798946.6660273,0,0.14566320000002186,3,2,676.81,677.900000000293,236.3
1740798946.6679537,0,0.14616640000002185,3,2,676.66,677.850000000293,236.2
1740798946.6701438,0,0.14716960000002186,3,2,676.51,677.800000000293,236.1
1740798946.6714294,0,0.14817280000002186,3,2,676.45,677.7500000002931,236.0
1740798946.6731143,0,0.14867600000002185,3,2,676.39,677.7000000002931,235.9
1740798946.6746397,0,0.14917920000002186,3,2,676.33,677.6500000002932,235.8
1740798946.6755726,0,0.14968240000002186,3,2,676.27,677.6000000002932,235.7
1740798946.6764562,0,0.15018560000002187,3,2,676.21,677.5500000002933,235.6
1740798946.6774247,0,0.15068880000002186,3,2,676.15,677.5000000002933,235.5
1740798946.6789672,0,0.15119200000002186,3,2,676.09,677.4500000002934,235.5
1740798946.6799464,0,0.15169520000002187,3,2,676.03,677.4000000002934,235.5
1740798946.6811175,0,0.15219840000002188,3,2,675.97,677.3500000002934,235.5
1740798946.6820238,0,0.15270160000002186,3,2,675.91,677.3000000002935,235.5
1740798946.6831534,0,0.15320480000002187,3,2,675.85,677.2500000002935,235.5
1740798946.6845326,0,0.15370800000002188,3,2,675.79,677.2000000002936,235.5
1740798946.6854308,0,0.15421120000002186,3,2,675.73,677.1500000002936,235.5
1740798946.6864276,0,0.15421440000002187,3,2,675.67,677.1000000002937,235.5
1740798946.687442,0,0.15371760000002188,3,2,675.67,677.0500000002937,235.45
1740798946.6884391,0,0.1532208000000219,3,2,675.67,677.0000000002938,235.4
1740798946.6897063,0,0.1527240000000219,3,2,675.67,676.9500000002938,235.35
1740798946.6907525,0,0.15222720000002188,3,2,675.67,676.9000000002939,235.3
1740798946.6917334,0,0.1517304000000219,3,2,675.67,676.8500000002939,235.25
1740798946.6927526,0,0.1517336000000219,3,2,675.67,676.800000000294,235.2
1740798946.69444,0,0.1517368000000219,3,2,675.67,676.750000000294,235.15
1740798946.6967187,0,0.15224000000002189,3,2,675.61,676.700000000294,235.1
1740798946.699154,0,0.1527432000000219,3,2,675.55,676.6500000002941,235.05
1740798946.7010124,0,0.1532464000000219,3,2,675.49,676.6000000002941,235.0
1740798946.7039747,0,0.15374960000002189,3,2,675.43,676.5500000002942,234.95
1740798946.7056177,0,0.1547528000000219,3,2,675.37,676.5000000002942,234.9
1740798946.7070146,0,0.1557560000000219,3,2,675.31,676.4500000002943,234.85
1740798946.708007,0,0.15675920000002191,3,2,675.25,676.4000000002943,234.8
1740798946.7089446,0,0.1577624000000219,3,2,675.19,676.3500000002944,234.75
1740798946.7098658,0,0.1587656000000219,3,2,675.13,676.3000000002944,234.7
1740798946.710885,0,0.15976880000002192,3,2,675.07,676.2500000002944,234.65
1740798946.7118816,0,0.1607720000000219,3,2,675,676.2000000002945,234.6
1740798946.712881,0,0.1617752000000219,3,2,674.93,676.1500000002945,234.55
1740798946.7139287,0,0.16177840000002192,3,2,674.86,676.1000000002946,234.45
1740798946.7150252,0,0.16178160000002192,3,2,674.79,676.0500000002946,234.35000000000002
1740798946.7159243,0,0.1617848000000219,3,2,674.72,676.0000000002947,234.25
1740798946.7168436,0,0.16178800000002191,3,2,674.65,675.9500000002947,234.14999999999998
1740798946.7178648,0,0.16179120000002192,3,2,674.58,675.9000000002948,234.05
1740798946.7187967,0,0.16179440000002193,3,2,674.51,675.8500000002948,233.95
1740798946.719737,0,0.1617976000000219,3,2,674.44,675.8000000002949,233.85000000000002
1740798946.7206852,0,0.16230080000002192,3,2,674.43,675.7500000002949,233.75
1740798946.7215564,0,0.16280400000002193,3,2,674.42,675.700000000295,233.64999999999998
1740798946.7227957,0,0.1633072000000219,3,2,674.41,675.650000000295,233.55
1740798946.7239802,0,0.16381040000002192,3,2,674.4,675.600000000295,233.45
1740798946.7262638,0,0.16431360000002193,3,2,674.39,675.5500000002951,233.35000000000002
1740798946.7278512,0,0.16481680000002194,3,2,674.39,675.5000000002951,233.25
1740798946.729981,0,0.16532000000002192,3,2,674.39,675.4500000002952,233.15
1740798946.7312703,0,0.16582320000002193,3,2,674.39,675.4000000002952,233.05
1740798946.733089,0,0.16632640000002194,3,2,674.39,675.3500000002953,232.95
1740798946.7344303,0,0.16682960000002195,3,2,674.39,675.3000000002953,232.85000000000002
1740798946.7354763,0,0.16733280000002193,3,2,674.43,675.2500000002954,232.7
1740798946.7368226,0,0.16733600000002194,3,2,674.47,675.2000000002954,232.55
1740798946.737733,0,0.16733920000002195,3,2,674.51,675.1500000002954,232.4
1740798946.7386742,0,0.16734240000002196,3,2,674.55,675.1000000002955,232.25
1740798946.7395513,0,0.16734560000002194,3,2,674.59,675.0500000002955,232.10000000000002
1740798946.740449,0,0.16734880000002195,3,2,674.63,675.0000000002956,231.95
1740798946.741367,0,0.16735200000002196,3,2,674.67,674.9500000002956,231.8
1740798946.7425284,0,0.16735520000002196,3,2,674.71,674.9000000002957,231.65
1740798946.743434,0,0.16735840000002195,3,2,674.75,674.8500000002957,231.55
1740798946.7444198,0,0.16736160000002195,3,2,674.79,674.8000000002958,231.45
1740798946.7454808,0,0.16836480000002196,3,2,674.83,674.7500000002958,231.4
1740798946.7464943,0,0.16936800000002195,3,2,674.87,674.7000000002959,231.35
1740798946.7474763,0,0.17037120000002196,3,2,674.91,674.6500000002959,231.3
1740798946.7484896,0,0.17137440000002196,3,2,674.95,674.600000000296,231.25
1740798946.7494812,0,0.17237760000002197,3,2,674.99,674.550000000296,231.2
1740798946.7504714,0,0.17338080000002196,3,2,675.03,674.500000000296,231.15
1740798946.7519405,0,0.17388400000002197,3,2,675.03,674.4500000002961,231.1
1740798946.7528152,0,0.17388720000002197,3,2,675.03,674.4000000002961,231.05
1740798946.7537658,0,0.17389040000002198,3,2,675.03,674.3500000002962,231.0
1740798946.7547812,0,0.17389360000002196,3,2,675.03,674.3000000002962,230.95
1740798946.7557557,0,0.17389680000002197,3,2,675.03,674.2500000002963,230.9
1740798946.7567134,0,0.17390000000002198,3,2,675.03,674.2000000002963,230.85
1740798946.7582147,0,0.173903200000022,3,2,675.12,674.1500000002964,230.85
1740798946.760605,0,0.17390640000002197,3,2,675.21,674.1000000002964,230.85000000000002
1740798946.7620714,0,0.17390960000002198,3,2,675.3,674.0500000002964,230.85000000000002
